ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Role_Model_Type
10,15,Right-Handed,178,1,Bus,45,Walking/Hiking,950,920,935,776,830,834,26.7,Same length,7.8,8.1,Ring finger,December,Winter,Science,7.2,7.9,5,"Myspace, Facebook, other social networking sites, or blog",30,36,1,3,15,10,3,0,5,2,20,8,Some,Graduate degree,Telepathy,Famous,Politician
12,17,Right-Handed,13.97,1,Car,10,Other,1000,882,791,690,460,604,23,Right foot,63.5,74.61,Ring finger,July,Fall,Mathematics and statistics,7,11,4,In person,30,60,20,50,18,6,12,0,20,50,50,15,Some,Graduate degree,Telepathy,Happy,Business person
9,15,Right-Handed,150,1,Rail (Train/Tram/Subway),20,Baseball/Softball,1000,1000,80,90,20,40,25,Left foot,90,100,Ring finger,April,Summer,Science,8,10,3,Text messaging,7,10,6,20,4,27,0,3,4,27,0,5,A lot,Graduate degree,Invisibility,Rich,Actor
12,17,Right-Handed,178,1,Rail (Train/Tram/Subway),20,Football (American),800,500,400,600,700,700,25.5,Left foot,77,75,Index finger,November,Spring,Physical education,6,9,4,Text messaging,50,50,12,0.5,8,4,3,15,7,7,5,15,Some,Undergraduate degree,Freeze time,Happy,Other
12,20,Right-Handed,160,2,Car,35,Soccer,1000,1000,1000,1000,700,700,23,Same length,73,76,Ring finger,October,Fall,Mathematics and statistics,6,8,6,Cell phone,7,4,2,1,8,4,2,0,6,1,15,3,Some,Undergraduate degree,Invisibility,Happy,Teacher
10,16,Right-Handed,157,2,Rail (Train/Tram/Subway),80,Running/Jogging,799,900,50,100,600,901,21,Same length,72,78,Ring finger,February,Summer,History,5.5,9,6,Text messaging,50,50,2,10,15,4,3,2,24,10,30,4,Some,Graduate degree,Telepathy,Happy,Relative
12,17,Right-Handed,168,2,Rail (Train/Tram/Subway),20,Tennis,1000,1000,1000,1000,422,588,25,Left foot,72,81,Ring finger,August,Spring,Art,8,9,2,In person,30,35,30,2,20,5,0,0,10,3,30,5,Some,Undergraduate degree,Invisibility,Happy,Musician or singer
12,17,Right-Handed,171.4,2,Car,7,Soccer,900,900,900,600,500,400,27,Left foot,12,13,Index finger,January,Summer,History,6,9,4,Text messaging,8,10,20,1,10,10,20,1,10,1,2,10,A lot,Graduate degree,Fly,Healthy,Business person
12,16,Right-Handed,159,1,Car,30,Baseball/Softball,450,400,600,600,400,500,24,Same length,71,75,Ring finger,May,Fall,History,8,8,4,"Myspace, Facebook, other social networking sites, or blog",2,4,3,1,10,5,10,0,3,1,2,1,Some,Graduate degree,Telepathy,Healthy,Coach or club leader
12,17,Right-Handed,176,3,Rail (Train/Tram/Subway),58,Swimming,900,900,950,950,1000,1000,27,Same length,95,100,Ring finger,September,Summer,Mathematics and statistics,6,9,4,Internet chat or instant messaging,2,10,7,1,14,70,35,40,5,1,40,0,Some,Graduate degree,Invisibility,Happy,Other
12,17,Right-Handed,167,1,Car,5,Other,1000,900,900,600,50,600,26,Left foot,73,69,Index finger,June,Summer,Physical education,8,7,2,Internet chat or instant messaging,10,10,12,3,2,4,5,4,10,2,10,3,Very little,Undergraduate degree,Telepathy,Happy,Relative
10,16,Right-Handed,198,2,Rail (Train/Tram/Subway),50,Soccer,1000,1000,1000,1000,1,10,35,Same length,50,50,Same length,March,Spring,Art,4,8,4,Cell phone,2,200,2,1,1,1,1,1,1,1,1,1,Some,Graduate degree,Freeze time,Happy,Musician or singer
12,21,Right-Handed,177,1,Car,20,Other,750,300,0,100,1000,1000,26,Same length,88,96,Ring finger,October,Spring,Computers and technology,8,8,4,Internet chat or instant messaging,400,400,10,10,5,4,0,12,3,6,30,0,Some,Undergraduate degree,Freeze time,Happy,Business person
10,16,Right-Handed,174,1,Rail (Train/Tram/Subway),45,Swimming,600,900,600,600,900,800,25,Same length,100,99,Index finger,November,Fall,English,7,8,3,Text messaging,15,14,5,4,6,3,0,4,6,10,10,7,Some,Undergraduate degree,Fly,Happy,Friend
10,16,Right-Handed,160,2,Bus,45,Dancing,700,700,700,700,450,500,22.5,Same length,70,70,Same length,April,Summer,English,7,9,4,Text messaging,40,40,5,3,15,7,3,0,14,5,15,1,Some,Undergraduate degree,Freeze time,Happy,Actor
9,15,Right-Handed,164,2,Rail (Train/Tram/Subway),30,Other,1000,1000,663,652,524,1000,25,Same length,9,9,Same length,March,Spring,History,5,4,4,"Myspace, Facebook, other social networking sites, or blog",500,400,1,1,2,0,0,5,5,10,5,3,Some,Graduate degree,Telepathy,Happy,Friend
9,15,Left-Handed,153,2,Skateboard/Scooter/Rollerblade,35,Dancing,700,500,1000,1000,400,600,41,Same length,70,70,Same length,May,Spring,Languages,7,7,3,Telephone,24,16,4,4,4,4,4,4,4,4,5,6,A lot,Graduate degree,Telepathy,Happy,Doctor or nurse
12,18,Right-Handed,173,2,Rail (Train/Tram/Subway),32,None,1000,599,701,561,209,278,8,,72,72,Same length,January,Fall,Science,7,7,6,Text messaging,20,190,0,0,3,2,5,12,3,4,12,10,Some,High school,Invisibility,Famous,Relative
12,18,Right-Handed,167,3,Rail (Train/Tram/Subway),45,Other,500,500,500,500,600,600,24,Right foot,100,100,Same length,October,Summer,Social studies,8,8,4,Internet chat or instant messaging,0,0,0,0,10,5,50,0,2,0,30,0,A lot,Graduate degree,Freeze time,Healthy,Relative
12,17,Right-Handed,160,1,Car,13,Lacrosse,800,900,950,1000,200,700,21,Right foot,57.15,50.8,Ring finger,November,Winter,Mathematics and statistics,6,10,4,Text messaging,200,100,35,10,16,12,5,2,18,50,8,2,Some,Graduate degree,Telepathy,Rich,Teacher
10,15,Right-Handed,165,2,Rail (Train/Tram/Subway),85,Cycling,900,700,600,700,1000,1000,23,Left foot,90,95,Ring finger,August,Summer,Physical education,5,13,3,Text messaging,4,2,1,0,30,20,0,35,6,3,70,0,A lot,Graduate degree,Super strength,Happy,Musician or singer
12,21,Right-Handed,160,1,Car,20,Running/Jogging,0,800,800,700,1000,1000,24,Same length,65,70,Ring finger,February,Summer,Mathematics and statistics,8,8,4,Text messaging,40,37,5,1,21,7,7,0,15,7,20,14,A lot,Graduate degree,Fly,Happy,Relative
12,16,Right-Handed,174,1,Rail (Train/Tram/Subway),20,Dancing,749,701,706,717,412,717,27.5,Same length,70,80,Ring finger,September,Winter,English,4,7,3,In person,25,35,13,0.5,24,14,0,0,1.5,2,21,0,A lot,Undergraduate degree,Freeze time,Happy,Musician or singer
10,15,Right-Handed,162,2,Bus,20,Swimming,930,754,701,455,37,1000,25.5,Same length,10.6,9.7,Ring finger,August,Summer,Science,8,10,5,In person,50,120,10,0,2,8,2,0,0,1,5,2,Very little,Other,Fly,Happy,Relative
12,18,Right-Handed,165,2,Rail (Train/Tram/Subway),25,Basketball,800,600,900,600,900,1000,24,Left foot,95,100,Ring finger,December,Spring,Social studies,5,10,3,"Myspace, Facebook, other social networking sites, or blog",200,200,25,0.2,5,1,5,0,3,5,35,2,A lot,Graduate degree,Freeze time,Happy,Business person
9,15,Right-Handed,158,1,Rail (Train/Tram/Subway),65,Basketball,500,100,1000,1000,1000,1000,28,Same length,7,8,Ring finger,July,Fall,Mathematics and statistics,8,12,3,Text messaging,10,35,4,5,1,12,0,10,24,24,24,0,A lot,High school,Invisibility,Rich,Relative
12,16,Right-Handed,180,2,Car,12,Soccer,1000,1000,524,353,882,1000,27,Left foot,45,45,Same length,January,Winter,Languages,5,12,4,Text messaging,200,250,3,0,5,0,0,3,10,4,60,2,A lot,Graduate degree,Freeze time,Happy,Friend
12,17,Right-Handed,185.4,1,Bus,10,Running/Jogging,1000,1000,800,800,200,1000,29.2,Left foot,90,90,Same length,June,Fall,Art,7.5,8,5,Text messaging,200,233,6,0,10,10,4,0,8,7,20,5,A lot,Undergraduate degree,Fly,Happy,Friend
